"AIRLINE_ID","CARRIER_NAME","REGION",
19257,"National Air Commuter Inc.","Domestic",
19258,"New Born Wings Inc.","Domestic",
19259,"Nor East Commuter Airlines","Domestic",
19260,"Nevada Airlines","Domestic",
19261,"Northern Eagle Airways Inc.","Domestic",
19262,"Newair Flight Inc.","Domestic",
19263,"N. J. Merrimack Airlines","Domestic",
19264,"E. J. A. Newport Inc.","Domestic",
19265,"Northaire","Domestic",
19266,"Lake State Airways","Domestic",
19267,"New York Helicopter Corp.","Domestic",
19268,"Harbor Airlines Inc.","Domestic",
19269,"Ocean Reef Airways Inc.","Domestic",
19270,"Offshore Logistics","Domestic",
19271,"Omaha Aviation","Domestic",
19272,"Corporate Air Inc.","Domestic",
19273,"Omak Aviation Airlines","Domestic",
19274,"Omni Pacific Airline","Domestic",
19275,"Sun Aire Lines","Domestic",
19276,"Air Kentucky Air Lines","Domestic",
19277,"Permian Airways Inc.","Domestic",
19278,"Provincetown Boston","Domestic",
19279,"Piasa Commuter Airlines","Domestic",
19280,"Trans Southern Airways","Domestic",
19281,"Pearson Aircraft","Domestic",
19282,"Air Pennsylvania","Domestic",
19283,"Petro Aviation Corp.","Domestic",
19284,"Phillips Airlines","Domestic",
19285,"Phoenix Airlines","Domestic",
19286,"Pacific Island Airways","Domestic",
19287,"Planes Inc.","Domestic",
19288,"Polar Airways Inc.","Domestic",
19289,"Pacific Missionary Aviation","Domestic",
19290,"Pioneer Airways","Domestic",
19291,"Pocono Airlines Inc.","Domestic",
19292,"Pompano Airways","Domestic",
19293,"Ponderosa Aviation Inc.","Domestic",
19294,"Princeton Aviation Corp","Domestic",
19295,"Pro Air Services","Domestic",
19296,"Precision Valley Aviation","Domestic",
19297,"Bar Harbor Airways","Domestic",
19298,"Royal-Air Ltd.","Domestic",
19299,"Realwest Airlines","Domestic",
19300,"Aerosun International Airlines Inc.","Domestic",
19301,"Royal Hawaiian Airways Inc.","Domestic",
19302,"Richardson Aviation","Domestic",
19303,"Indiana Airways Inc. (Reid","Domestic",
19304,"Rio Airways Inc.","Domestic",
19305,"Riverside Air Service","Domestic",
19306,"Michigan Airways Inc.","Domestic",
19307,"Roederer Aviation Inc.","Domestic",
19308,"Royal American Airways Inc.","Domestic",
19309,"Air Rovers Inc.","Domestic",
19310,"Sajen Air Inc.","Domestic",
19311,"Samoan Airlines Inc.","Domestic",
19312,"Air Cortez International","Domestic",
19313,"Air Americana","Domestic",
19314,"Saber Aviation Inc.","Domestic",
19315,"Suburban Airlines","Domestic",
19316,"Seaco Airlines Inc.","Domestic",
19317,"Skyline Airlines","Domestic",
19318,"South Coast Airways","Domestic",
19319,"Semo Aviation Inc.","Domestic",
19320,"Stahmannfarms Inc.","Domestic",
19321,"Sfo Helicopter Airlines Inc.","Domestic",
19322,"Sierra Flite Service Inc.","Domestic",
19323,"Shasta Air Inc.","Domestic",
19324,"Shavano Air Inc.","Domestic",
19325,"Silver State Airlines","Domestic",
19326,"San Juan Airlines Inc.","Domestic",
19327,"Bas Airlines","Domestic",
19328,"Scheduled Skyways","Domestic",
19329,"Stopher Mechanical Inc.","Domestic",
19330,"Gelco Courier Services Inc.","Domestic",
19331,"Shawnee Airlines","Domestic",
19332,"Mall Airways Inc.","Domestic",
19333,"Soonair Lines Inc.","Domestic",
19334,"Springfield Air Service","Domestic",
19335,"Sterling Air Service","Domestic",
19336,"Southern Seaplane","Domestic",
19337,"Sierra Express Inc.","Domestic",
19338,"Seaplane Shuttle Transport","Domestic",
19339,"Trans East International","Domestic",
19340,"Star Aviation Corporation","Domestic",
19341,"Sun International Airways","Domestic",
19342,"Sunbelt","Domestic",
19343,"Sun Valley Airlines","Domestic",
19344,"Sunwest Airlines","Domestic",
19345,"Air Colorado","Domestic",
19346,"Tejas Airlines Inc.","Domestic",
19347,"Yosemite Airlines Inc.","Domestic",
19348,"Trans Catalina Airlines","Domestic",
19349,"Oceanair Line","Domestic",
19350,"Trans California Airlines","Domestic",
19351,"Trans-Central Airlines Inc.","Domestic",
19352,"Trans-Colorado Airlines","Domestic",
19353,"Tennessee Airways Inc.","Domestic",
19354,"Terre Haute Air Commuter","Domestic",
19355,"Thorson Aviation","Domestic",
19356,"Trans Air Inc.","Domestic",
19357,"Skyfreight","Domestic",
19358,"Trans Mo Airlines","Domestic",
19359,"Transtate Aviation","Domestic",
19360,"Trans Pennsylvania Airlines","Domestic",
19361,"Trans Sierra Airlines Inc.","Domestic",
19362,"Tulsair Beechcraft Inc.","Domestic",
19363,"Temsco Airlines","Domestic",
19364,"Universal Airways Inc.","Domestic",
19365,"Air U.S.","Domestic",
19366,"Vagabond Aviation Inc.","Domestic",
