,AIRLINE_ID,CARRIER_NAME
300,19331,Shawnee Airlines
301,19332,Mall Airways Inc.
302,19333,Soonair Lines Inc.
303,19334,Springfield Air Service
304,19335,Sterling Air Service
305,19336,Southern Seaplane
306,19337,Sierra Express Inc.
307,19338,Seaplane Shuttle Transport
308,19339,Trans East International
309,19340,Star Aviation Corporation
310,19341,Sun International Airways
311,19342,Sunbelt
312,19343,Sun Valley Airlines
313,19344,Sunwest Airlines
314,19345,Air Colorado
315,19346,Tejas Airlines Inc.
316,19347,Yosemite Airlines Inc.
317,19348,Trans Catalina Airlines
318,19349,Oceanair Line
319,19350,Trans California Airlines
320,19351,Trans-Central Airlines Inc.
321,19352,Trans-Colorado Airlines
322,19353,Tennessee Airways Inc.
323,19354,Terre Haute Air Commuter
324,19355,Thorson Aviation
325,19356,Trans Air Inc.
326,19357,Skyfreight
327,19358,Trans Mo Airlines
328,19359,Transtate Aviation
329,19360,Trans Pennsylvania Airlines
330,19361,Trans Sierra Airlines Inc.
331,19362,Tulsair Beechcraft Inc.
332,19363,Temsco Airlines
333,19364,Universal Airways Inc.
334,19365,Air U.S.
335,19366,Vagabond Aviation Inc.
336,19367,Britt Airlines Inc.
337,19368,Viking Express
338,19369,Vale International Airlines
339,19370,Valley Airlines
340,19371,Air East Airlines
341,19372,Walker's International
342,19373,Mountainwest Airlines
343,19374,Western Star Airlines Inc.
344,19375,Western Charter Inc.
345,19376,Wheeler Airlines
346,19377,Wisc Air
347,19378,Will's Air
348,19379,Wings Airways
349,19380,Mcphillips Flying Service
350,19381,Air New Mexico
351,19382,Winnipesaukee Aviation Inc.
352,19383,Skyway Aviation Inc.
353,19384,P.S. Air Freight Inc.
354,19385,Reeve Aleutian Airways Inc.
355,19386,Northwest Airlines Inc.
356,19386,Northwest Airlines Inc.
357,19386,Northwest Airlines Inc.
358,19386,Northwest Airlines Inc.
359,19387,Wien Air Alaska Inc.
360,19388,Southern Airways
361,19389,Air Florida Inc.
362,19389,Air Florida Inc.
363,19389,Air Florida Inc.
364,19390,Air California Inc.
365,19391,Pacific Southwest Airlines
366,19392,Rich International Airways
367,19392,Rich International Airways
368,19392,Rich International Airways
369,19393,Southwest Airlines Co.
370,19393,Southwest Airlines Co.
371,19394,Mid-South Aviation Inc.
372,19395,Mid-South Aviation Inc.
373,19396,Sky West Aviation Inc.
374,19397,Republic Airlines Inc.
375,19398,Dauphin Island Airways
376,19399,New York Air Inc.
377,19400,Global International Airways Corp.
378,19400,Global International Airways Corp.
379,19400,Global International Airways Corp.
380,19401,Colgan Airways Inc.
381,19402,Overseas National Airways
382,19402,Overseas National Airways
383,19403,Flight International
384,19403,Flight International
385,19403,Flight International
386,19404,Academy Airlines
387,19405,Check-Air Inc.
388,19406,Transwest Air Express
389,19407,Airgo Inc.
390,19408,American Air Transport
391,19409,Bo-S-Aire Airlines Inc.
392,19410,Combs Airways Inc.
393,19411,Summit Airlines Inc.
394,19412,Eagle Aviation Inc.
395,19413,Falwell Aviation Inc.
396,19414,Falcon Airways Inc.
397,19415,Pinehurst Airlines Inc.
398,19416,Great Western Airlines Inc.
399,19417,Air Freight Express
400,19418,S. S. Airways Inc.
401,19419,Aero Union Corp
402,19420,Air Express International Airlines
403,19421,Central American International
404,19422,Michigan Peninsula Airways
405,19423,WTC Airlines
406,19424,Profit Airlines Inc.
407,19425,CF Air Freight
408,19426,International Air Service
409,19427,Aeronaves De Puerto Rico
410,19428,Allstates Air Cargo Inc.
411,19429,Cam Air International Inc.
412,19430,Purolator Sky Courier Inc.
413,19431,Circle Airfreight Corp.
414,19432,Pacific Alaska Airlines Inc.
415,19433,Icb International Airlines
416,19434,Cohlmia Aviation
417,19435,Amerford Airways Inc.
418,19436,Astro-Wing Airlines Inc.
419,19437,Ball Brothers Inc.
420,19438,Burlington Northern Inc.
421,19439,Century Airlines Inc.
422,19440,Dallas Flight Center
423,19441,Jet Way Inc.
424,19442,Klondike Air Inc.
425,19443,Pat Air
426,19444,Phh Air Inc.
427,19445,Flight Line Inc.
428,19446,Viking International Airlines Inc.
429,19447,Capitol International Inc.
430,19447,Capitol International Inc.
431,19447,Capitol International Inc.
432,19448,Air Caravane Inc.
433,19449,Argo S. A.
434,19450,Norontair
435,19451,Alberta Northern Airlines
436,19452,Aviacion Y Comercio S.A.
437,19453,Air Bvi Limited
438,19454,Spantax S. A.
439,19455,Dan Air Services
440,19456,Maersk Air I/S
441,19457,Aerolineas Dominicanas S A
442,19458,Caribwest Airways Ltd.
443,19459,Execaire Aviation Ltd.
444,19460,Aero Trades (Western) Ltd.
445,19461,Fast Air Carrier Ltd.
446,19462,Business Flights Ltd.
447,19463,Tar Airlines
448,19464,Transavia Holland B. V.
449,19465,Iscargo Hf
450,19466,Tradewinds Airways Ltd.
451,19467,Aerlinte Eireann Teoranta
452,19468,Iran National Airlines Corp
453,19469,Inair
454,19470,Allarco Developments Ltd.
455,19471,Transmeridian Air Cargo Ltd.
456,19472,Kelowna Flightcraft Air Cha
457,19473,Liat (1974) Limited
458,19474,Millardair Limited
459,19475,Montana Austria Flugetrieb
460,19476,P.N. Merpati Nusantara Air.
461,19477,North Cariboo Flying Serv.
462,19478,Norcanair
463,19479,Northward Airlines Ltd.
464,19480,North Coast Air Services
465,19481,National Aviation Consult.
466,19482,Air Niugini
467,19483,Nunasi-Central Airlines Ltd.
468,19484,Ontario Worldair Limited
469,19485,Pem-Air Limited
470,19486,Eastern Provincial Airways
471,19487,Pacific Western Airlines
472,19488,Inter-Quebec (Intair)
473,19489,Syrian Arab Airlines
474,19490,Aerotransportes Entre Rios
475,19491,Redcoat Air Cargo Limited
476,19492,Skycharter (Malton) Ltd.
477,19493,Superior Airways Limited
478,19494,Belize Airways Limited
479,19495,Skycraft Air Transport Inc.
480,19496,Trans-Mediterranean Airways
481,19497,British Caribbean Airways
482,19498,Air Manila Inc.
483,19499,Avalon Aviation Ltd.
484,19500,Wardair Canada Inc.
485,19501,Gateway Aviation Limited
486,19502,Windward Islands Airways
487,19503,Nal Inc.
488,19504,Yellow Bird Air
489,19505,Air Europe Limited
490,19506,Intair
491,19507,Yugoslav Airlines
492,19508,Union De Transports Aeriens
493,19509,Air Haiti S. A.
494,19510,Servicio Aereo De Honduras
495,19511,Sterling Airways A/S
496,19512,Aerolineas El Salvador S A
497,19513,Transp. Aereos Bolivianos
498,19514,Aeronaves Del Peru
499,19515,Compania Dominicana De Avia
500,19516,Nigeria Airways Ltd.
501,19517,Lineas Aereas Paraguayas
502,19518,Lufthansa Cargo Airlines
503,19519,Venezuelan International Airways
504,19520,Andes
505,19521,Compan. De Aviacion Faucett
506,19522,Aviateca
507,19523,Canadian Airlines International Ltd.
508,19524,Guyana Airways Corporation
509,19525,Seagreen Air Transport
510,19526,Air Nauru
511,19527,Aero Peru
512,19528,Balair Ag
513,19529,Sabena Belgian World Air.
514,19530,Air Afrique
515,19531,Air Canada
516,19532,Compagnie Natl Air France
517,19533,National Aviation Company of India Limited d/b/a Air India
518,19533,Air-India
519,19534,Aeromexico
520,19535,Aerolineas Argentinas
521,19536,Royal Air Maroc
522,19537,Aerovias Nacl De Colombia
523,19538,Finnair Oy
524,19539,Compagnia Aerea Italiana
525,19539,Alitalia-Linee Aeree Italia
526,19540,British Airways Plc
527,19541,British Midland Airways Ltd.
528,19542,British West Indian Airways
529,19542,Caribbean Airlines Limited
530,19543,Air China
531,19544,China Airlines Ltd.
532,19545,Cargolux Airlines International S.A
533,19546,Icelandair
534,19547,Iberia Air Lines Of Spain
535,19548,Japan Air Lines Co. Ltd.
536,19549,Air Jamaica Limited
537,19550,Korean Air Lines Co. Ltd.
538,19551,Klm Royal Dutch Airlines
539,19552,Lan-Chile Airlines
540,19553,Lloyd Aereo Boliviano S. A.
541,19554,Lufthansa German Airlines
542,19555,Polskie Linie Lotnicze
543,19556,Lacsa
544,19557,Luftransport-Unternehmen
545,19558,El Al Israel Airlines Ltd.
546,19559,Compania Mexicana De Aviaci
547,19560,N. W. Territorial Airways
548,19561,Olympic Airways
549,19562,Polynesian Airlines Ltd.
550,19563,Pakistan International Airlines
551,19564,Philippine Airlines Inc.
552,19565,Surinam Airways Limited
553,19566,Qantas Airways Ltd.
554,19567,Varig S. A.
555,19568,Alia-(The) Royal Jordanian
556,19569,Tarom Romanian Air Transpor
557,19570,South African Airways
558,19571,Scandinavian Airlines Sys.
559,19572,Singapore Airlines Ltd.
560,19573,Aeroflot Russian Airlines
561,19573,Aeroflot Russian Airlines
562,19574,Taca International Airlines
563,19575,Thai Airways International Ltd.
564,19576,Tap-Portuguese Airlines
565,19577,Bahamasair Holding Limited
566,19578,Transtar Airlines Corp.
567,19579,Heavylift Cargo Airlines Lt
568,19580,Ladeco
569,19581,Altus Airlines
570,19582,Atlantic Air
571,19583,Aero International Airlines
572,19584,Northern Star
573,19585,Skytrain
574,19586,Trans Air Cargo Inc.
575,19587,T-Bird Air Inc.
576,19587,T-Bird Air Inc.
577,19587,T-Bird Air Inc.
578,19588,Royal West Airways Inc.
579,19589,Air East Of Delaware Inc.
580,19590,Atlanta Express
581,19591,Air New Orleans
582,19592,Air Vermont Inc.
583,19593,Dolphin Airways Inc.
584,19594,Devoe Airlines
585,19595,Golden Pacific Airlines
586,19596,National Florida Airlines
587,19597,Slocum Air Inc.
588,19598,State Airlines Inc.
589,19599,Air Molakai
590,19600,Williams Air Inc.
591,19601,Mission Air
592,19602,Guy-America Airways Inc.
593,19602,Guy-America Airways Inc.
594,19603,Pacific Express
595,19604,Northeastern International Airways
596,19605,Friendship Air Alaska
597,19606,Minuteman Aviation Inc.
598,19607,Virgin Islands Seaplane
599,19608,Flying Tiger Line Inc.
600,19608,Flying Tiger Line Inc.
601,19608,Flying Tiger Line Inc.
602,19608,Flying Tiger Line Inc.
603,19609,Aerocondor
604,19610,Emerald Airlines Inc.
605,19611,Northern Airlines Inc.
606,19612,Pacific East Air Inc.
607,19613,Jet Charter Service Inc.
608,19613,Jet Charter Service Inc.
609,19613,Jet Charter Service Inc.
610,19614,Aeroservicios Ecuatorianos
611,19615,Arista International Airlines Inc.
612,19615,Arista International Airlines Inc.
613,19615,Arista International Airlines Inc.
614,19616,Kuwait Airways Corp.
615,19617,Burlington Aeroplane Co.
616,19618,Desert Sun Airlines
617,19619,Lake Union Air Service
618,19620,Aer Turas Teoranta
619,19621,Aero B Venezuela C.A.
620,19622,Air Ontario Limited
621,19623,Aer Lingus Plc
622,19624,Saudi Arabian Airlines Corp
623,19625,Air Polynesia d/b/a DHL Cargo
624,19626,Air Natl Aircraft Sal & Ser
625,19627,A/S Conair
626,19628,Dash Air Corporation
627,19629,Air Resorts Airlines
628,19630,Manu'a Air Transport
629,19631,Pacific Cal Air
630,19632,Service Aviation Inc.
631,19633,The Time Machine
632,19634,Servicio De Carga Aerea Sa
633,19635,Hapag Lloyd Flug.
634,19636,Air One Inc.
635,19637,Middle East Airlines S.A.L.
636,19638,Arcata Flying Service
637,19639,Grand Canyon Airlines
638,19640,Kodiak Airways Inc.
639,19641,Mid-Atlantic Exp. Airlines
640,19642,National Commuter Airlines
641,19643,Sundorph Aeronautical Corp.
642,19644,Waring Air
643,19645,All Star Airlines Inc.
644,19645,All Star Airlines Inc.
645,19645,All Star Airlines Inc.
646,19646,Aeron International Airlines Inc.
647,19647,Jet Fleet Intl. Airlines
648,19647,Jet Fleet Intl. Airlines
649,19647,Jet Fleet Intl. Airlines
650,19648,Markair Express
651,19649,Alaska Island Air Inc.
652,19650,Air Sunshine Inc.
653,19650,Air Sunshine Inc.
654,19651,Eastman Airways Inc.
655,19652,Spirit Helicopter
656,19653,Air National
657,19653,Air National
658,19654,Executive Charter
659,19655,Aviation Associates
660,19656,Airmarc Airlines Inc.
661,19657,Panorama Air Tours
662,19658,Trans-Air-Link Corporation
663,19658,Trans-Air-Link Corporation
664,19658,Trans-Air-Link Corporation
665,19659,Audi Air Inc.
666,19660,Galaxy Airlines Inc.
667,19660,Galaxy Airlines Inc.
668,19660,Galaxy Airlines Inc.
669,19661,Intl Air Service Co. Ltd.
670,19662,Transbrasil S.A.
671,19663,Hawkins And Powers Aviation
672,19664,Jet East Inc.
673,19665,Air Sedona
674,19666,Caribbean Express Inc.
675,19667,Tri-State Airlines Inc.
676,19668,Frontier Horizon Inc.
677,19669,Aermediterranea S.P.A.
678,19670,Markair Inc.
679,19670,Alaska International Air
680,19671,Air Tungaru Corporation
681,19672,Resort Airlines Inc.
682,19673,Alpine Air
683,19674,Americair Inc.
684,19675,Airspur Helicopters Inc.
685,19676,Silver Kris Services Ltd.
686,19677,Buffalo Airways Inc.
687,19677,Buffalo Airways Inc.
688,19677,Buffalo Airways Inc.
689,19678,Aloha Airlines Inc.
690,19678,Aloha Airlines Inc.
691,19679,Air Spirit Inc.
692,19680,Metro Express
693,19681,Frontier Commuter
694,19682,Virgin Atlantic Airways
695,19683,Airmark Corporation
696,19683,Airmark Corporation
697,19683,Airmark Corporation
698,19684,Independent Air Inc.
699,19684,Independent Air Inc.
700,19684,Independent Air Inc.
701,19685,Aerial Transit Company
702,19685,Aerial Transit Company
703,19685,Aerial Transit Company
704,19686,Westflight Aviation
705,19687,Horizon Air
706,19687,Horizon Air
707,19687,Horizon Air
708,19688,Midway Express Airlines
709,19689,St. Lucia Airways Limited
710,19690,Hawaiian Airlines Inc.
711,19690,Hawaiian Airlines Inc.
712,19690,Hawaiian Airlines Inc.
713,19690,Hawaiian Airlines Inc.
714,19691,Pacific Air Express Inc.
715,19692,Trump Air
716,19693,North Pacific Airlines Inc.
717,19694,Flirite Inc.
718,19695,Talarik Creek Air Taxi
719,19696,Royale Airlines Inc.
720,19696,Royale Airlines Inc.
721,19696,Royale Airlines Inc.
722,19697,Worldways Canada Ltd.
723,19698,Air Charter (Safa)
724,19699,Samoa Airlines Inc.
725,19700,Alpha Air
726,19701,Jetaire Airlines Inc.
727,19702,Haiti Air
728,19703,Harbor Air Service
729,19704,Continental Air Lines Inc.
730,19704,Continental Air Lines Inc.
731,19704,Continental Air Lines Inc.
732,19704,Continental Air Lines Inc.
733,19705,Interstate Airlines Inc.
734,19705,Interstate Airlines Inc.
735,19705,Interstate Airlines Inc.
736,19705,Interstate Airlines Inc.
737,19706,Hawaii Pacific Helicopters
738,19707,Eastern Air Lines Inc.
739,19707,Eastern Air Lines Inc.
740,19707,Eastern Air Lines Inc.
741,19708,Chisum Flying Service
742,19709,AvAir
743,19710,Armstrong Air Service Inc.
744,19711,Eagle Airline
745,19712,Business Express Airlines
746,19713,Alliance Airlines
747,19714,Astor Air
748,19715,West Penn Commuter
749,19716,Barken International
750,19717,Commuter Airlines (Ca)
751,19718,Cresent Medivac
752,19719,Coastal Air Transport
753,19720,Exec Express
754,19721,La Skycab Airline
755,19722,National Air
